goal_x,goal_y
0.0,40.0
2.5369567862625804,39.91946705887538
5.063698142949971,39.678192513231814
7.570049774416408,39.27714789050827
10.045919487243168,38.71794805585425
12.481337827939484,38.00284470963782
14.866498226413103,37.134717320642906
17.191796483566865,36.11706153146485
19.44786944401875,34.953975082791395
21.625632698223903,33.650141313247246
23.716317162185618,32.21081030124235
25.71150438746157,30.64177772475912
27.60316045928448,28.949361524202804
29.383668346301334,27.14037646228529
31.045858571670273,25.2221066833809
32.58303808201343,23.202276382847927
33.98901719798057,21.089018704420095
35.25813453790328,18.89084299090731
36.385279814180734,16.61660052007546
37.36591441060427,14.275448863674875
38.196089657762954,11.876815013130997
38.87246273294166,9.430357420377092
39.39231012048832,6.945927106677217
39.75353857845016,4.433527996040444
39.95469356732032,1.9032766329496873
39.994965106955,-0.6346385533923211
39.8741910380777,-3.1699982742715416
39.592857675237305,-5.6925935309314095
39.15209784859115,-8.192266722607629
38.55368634239768,-10.658952547601402
37.80003274858674,-13.082718532696866
36.894171764183255,-15.453805027725148
35.83975097165344,-17.762664504230965
34.64101615137754,-20.000000000000007
33.30279418539086,-22.15680255464441
31.83047362123328,-24.224387485506675
30.22998297417033,-26.1944293578114
28.507766855154507,-28.058995508252856
26.67076002065167,-29.810577987030186
24.7263594488242,-31.442123789711502
22.682394554510836,-32.94706325719331
20.54709566293625,-34.31933652939908
18.32906086909642,-35.55341794619694
16.037221416264543,-36.644338297282786
13.680805733026755,-37.587704831436334
11.269302273657187,-38.37971894457989
8.812421311461632,-39.01719147541628
6.320055838933996,-39.49755554705577
3.8022417321672974,-39.818876902923385
1.2691173399227063,-39.9798616953274
-1.2691173399227142,-39.9798616953274
-3.802241732167305,-39.818876902923385
-6.320055838934003,-39.49755554705577
-8.812421311461623,-39.01719147541628
-11.269302273657193,-38.37971894457989
-13.680805733026746,-37.58770483143634
-16.03722141626455,-36.644338297282786
-18.329060869096413,-35.55341794619694
-20.547095662936258,-34.31933652939908
-22.682394554510825,-32.947063257193314
-24.726359448824212,-31.442123789711495
-26.67076002065166,-29.810577987030193
-28.507766855154518,-28.05899550825285
-30.229982974170326,-26.19442935781141
-31.830473621233285,-24.224387485506664
-33.30279418539085,-22.15680255464442
-34.641016151377556,-19.999999999999986
-35.83975097165344,-17.76266450423096
-36.894171764183255,-15.453805027725148
-37.80003274858673,-13.082718532696875
-38.55368634239768,-10.658952547601386
-39.15209784859115,-8.192266722607622
-39.592857675237305,-5.6925935309314095
-39.87419103807769,-3.169998274271552
-39.994965106955,-0.6346385533923043
-39.95469356732032,1.9032766329496953
-39.75353857845016,4.433527996040435
-39.392310120488325,6.945927106677199
-38.87246273294166,9.4303574203771
-38.196089657762954,11.876815013130997
-37.36591441060427,14.275448863674868
-36.38527981418073,16.616600520075473
-35.25813453790328,18.890842990907316
-33.98901719798057,21.089018704420095
-32.58303808201343,23.202276382847916
-31.045858571670266,25.222106683380915
-29.383668346301327,27.140376462285293
-27.60316045928448,28.949361524202804
-25.711504387461584,30.641777724759113
-23.716317162185607,32.21081030124235
-21.625632698223896,33.650141313247246
-19.447869444018753,34.953975082791395
-17.191796483566876,36.11706153146484
-14.86649822641309,37.134717320642906
-12.481337827939482,38.00284470963782
-10.045919487243175,38.71794805585425
-7.57004977441639,39.277147890508274
-5.063698142949962,39.678192513231814
-2.536956786262581,39.91946705887538
-9.797174393178826e-15,40.0
